DGD_spec,mu,OSNR_dB,num_taps,seed,swapped,rot_x,rot_y,ser_x,ser_y,ber
0.01,0.001,20,21,1,False,1j,(-1+0j),0.00016494845360824742,0.0001443298969072165,9.793814432989691e-05
0.01,0.001,20,21,2,False,1j,(-1+0j),0.0001443298969072165,0.00016494845360824742,9.793814432989691e-05
0.01,0.001,20,21,3,False,(1+0j),(-1+0j),0.00010309278350515464,0.00018556701030927834,8.762886597938145e-05
0.01,0.001,20,21,4,False,(-0-1j),1j,0.0005567010309278351,0.00024742268041237116,0.00023195876288659793
0.01,0.001,20,21,5,True,1j,1j,0.00018556701030927834,0.00012371134020618558,8.762886597938145e-05
0.08071428571428571,0.001,20,21,1,False,1j,(-1+0j),0.00016494845360824742,0.0001443298969072165,9.793814432989691e-05
0.08071428571428571,0.001,20,21,2,False,1j,(-1+0j),0.0001443298969072165,0.00016494845360824742,9.793814432989691e-05
0.08071428571428571,0.001,20,21,3,False,(1+0j),(-1+0j),0.00010309278350515464,0.00018556701030927834,8.762886597938145e-05
0.08071428571428571,0.001,20,21,4,False,(-0-1j),1j,0.0006185567010309278,0.00024742268041237116,0.00024742268041237116
0.08071428571428571,0.001,20,21,5,True,1j,1j,0.00018556701030927834,0.00012371134020618558,8.762886597938145e-05
0.15142857142857144,0.001,20,21,1,False,1j,(-1+0j),0.00016494845360824742,0.0001443298969072165,9.793814432989691e-05
0.15142857142857144,0.001,20,21,2,False,1j,(-1+0j),0.0001443298969072165,0.00016494845360824742,9.793814432989691e-05
0.15142857142857144,0.001,20,21,3,False,(1+0j),(-1+0j),0.00010309278350515464,0.00018556701030927834,8.762886597938145e-05
0.15142857142857144,0.001,20,21,4,False,(-0-1j),1j,0.0006391752577319588,0.00024742268041237116,0.00025257731958762885
0.15142857142857144,0.001,20,21,5,True,1j,1j,0.00018556701030927834,0.00012371134020618558,8.762886597938145e-05
0.22214285714285714,0.001,20,21,1,False,1j,(-1+0j),0.00016494845360824742,0.0001443298969072165,9.793814432989691e-05
0.22214285714285714,0.001,20,21,2,False,1j,(-1+0j),0.0001443298969072165,0.00016494845360824742,9.793814432989691e-05
0.22214285714285714,0.001,20,21,3,False,(1+0j),(-1+0j),0.00010309278350515464,0.00018556701030927834,8.762886597938145e-05
0.22214285714285714,0.001,20,21,4,False,(-0-1j),1j,0.0006597938144329897,0.00026804123711340205,0.00026288659793814435
0.22214285714285714,0.001,20,21,5,True,1j,1j,0.00018556701030927834,0.00012371134020618558,8.762886597938145e-05
0.29285714285714287,0.001,20,21,1,False,1j,(-1+0j),0.00016494845360824742,0.0001443298969072165,9.793814432989691e-05
0.29285714285714287,0.001,20,21,2,False,1j,(-1+0j),0.0001443298969072165,0.00016494845360824742,9.793814432989691e-05
0.29285714285714287,0.001,20,21,3,False,(1+0j),(-1+0j),0.00010309278350515464,0.00018556701030927834,8.762886597938145e-05
0.29285714285714287,0.001,20,21,4,False,(-0-1j),1j,0.0007628865979381444,0.000288659793814433,0.0002938144329896907
0.29285714285714287,0.001,20,21,5,True,1j,1j,0.00018556701030927834,0.00012371134020618558,8.762886597938145e-05
0.3635714285714286,0.001,20,21,1,False,1j,(-1+0j),0.00016494845360824742,0.0001443298969072165,9.793814432989691e-05
0.3635714285714286,0.001,20,21,2,False,1j,(-1+0j),0.0001443298969072165,0.00016494845360824742,9.793814432989691e-05
0.3635714285714286,0.001,20,21,3,False,(1+0j),(-1+0j),0.00010309278350515464,0.00018556701030927834,8.762886597938145e-05
0.3635714285714286,0.001,20,21,4,False,(-0-1j),1j,0.0009278350515463917,0.0003711340206185567,0.0003556701030927835
0.3635714285714286,0.001,20,21,5,True,1j,1j,0.00018556701030927834,0.00012371134020618558,8.762886597938145e-05
0.4342857142857143,0.001,20,21,1,False,1j,(-1+0j),0.00016494845360824742,0.0001443298969072165,9.793814432989691e-05
0.4342857142857143,0.001,20,21,2,False,1j,(-1+0j),0.0001443298969072165,0.00016494845360824742,9.793814432989691e-05
0.4342857142857143,0.001,20,21,3,False,(1+0j),(-1+0j),0.00010309278350515464,0.00018556701030927834,8.762886597938145e-05
0.4342857142857143,0.001,20,21,4,False,(-0-1j),1j,0.0011134020618556702,0.00047422680412371137,0.0004278350515463918
0.4342857142857143,0.001,20,21,5,True,1j,1j,0.00018556701030927834,0.00012371134020618558,8.762886597938145e-05
0.505,0.001,20,21,1,False,1j,(-1+0j),0.00016494845360824742,0.0001443298969072165,9.793814432989691e-05
0.505,0.001,20,21,2,False,1j,(-1+0j),0.0001443298969072165,0.00016494845360824742,9.793814432989691e-05
0.505,0.001,20,21,3,False,(1+0j),(-1+0j),0.00010309278350515464,0.00018556701030927834,8.762886597938145e-05
0.505,0.001,20,21,4,False,(-0-1j),1j,0.0012371134020618556,0.0006185567010309278,0.0004948453608247423
0.505,0.001,20,21,5,True,1j,1j,0.00018556701030927834,0.00012371134020618558,8.762886597938145e-05
